name,value,year,lastValue,rank
Neural,142,2020.9,140,3
Neural,140,2020.8,137,3
Neural,137,2020.7,135,3
Neural,135,2020.6,132,4
Neural,132,2020.5,130,4
Neural,130,2020.4,127,4
Neural,127,2020.3,125,4
Neural,125,2020.2,122,4
Neural,122,2020.1,120,5
Neural,120,2020.0,0,5
Positive,211,2020.9,208,1
Positive,208,2020.8,205,1
Positive,205,2020.7,202,1
Positive,202,2020.6,199,1
Positive,199,2020.5,196,1
Positive,196,2020.4,193,1
Positive,193,2020.3,190,1
Positive,190,2020.2,187,1
Positive,187,2020.1,184,1
Positive,184,2020.0,0,1
Negative,154,2020.9,152,2
Negative,152,2020.8,151,2
Negative,151,2020.7,149,2
Negative,149.8,2020.6,148,2
Negative,148,2020.5,147,2
Negative,147,2020.4,145,2
Negative,145,2020.3,144,2
Negative,144,2020.2,143,2
Negative,143,2020.1,141,2
Negative,141,2020.0,0,2
