date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral
2020-04-13,27,12,10,0.551,0.2449,0.2041,27,12,10
2020-04-14,18,10,19,0.383,0.2128,0.4043,45,22,29
2020-04-15,13,0,13,0.5,0.0,0.5,58,22,42
2020-04-16,10,3,32,0.2222,0.0667,0.7111,68,25,74
2020-04-17,291,179,307,0.3745,0.2304,0.3951,359,204,381
2020-04-18,163,163,216,0.3007,0.3007,0.3985,522,367,597
2020-04-19,246,99,133,0.5146,0.2071,0.2782,768,466,730
2020-04-20,161,111,304,0.2795,0.1927,0.5278,929,577,1034
2020-04-21,89,109,105,0.2937,0.3597,0.3465,1018,686,1139
2020-04-22,114,211,191,0.2209,0.4089,0.3702,1132,897,1330
2020-04-23,100,100,101,0.3322,0.3322,0.3355,1232,997,1431
2020-04-24,94,163,81,0.2781,0.4822,0.2396,1326,1160,1512
2020-04-25,57,29,148,0.2436,0.1239,0.6325,1383,1189,1660
2020-04-26,73,98,94,0.2755,0.3698,0.3547,1456,1287,1754
2020-04-27,6,6,12,0.25,0.25,0.5,1462,1293,1766
