date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,user_cnt,acc_user_cnt,tweet_cnt,acc_tweet_cnt
2020-04-20,1,0,0,1.0,0.0,0.0,1,0,0,1,1,1,1
2020-04-21,1,0,0,1.0,0.0,0.0,2,0,0,1,2,1,2
2020-04-22,5,0,3,0.625,0.0,0.375,7,0,3,8,10,8,10
2020-04-23,0,0,1,0.0,0.0,1.0,7,0,4,1,11,1,11
2020-04-24,0,1,0,0.0,1.0,0.0,7,1,4,1,12,1,12
2020-04-25,1,0,0,1.0,0.0,0.0,8,1,4,1,13,1,13
2020-04-26,645,1770,1040,0.1867,0.5123,0.301,653,1771,1044,3208,3221,3455,3468
2020-04-27,1574,1407,1647,0.3401,0.304,0.3559,2227,3178,2691,4094,7315,4628,8096
2020-04-28,1394,827,1417,0.3832,0.2273,0.3895,3621,4005,4108,3115,10430,3638,11734
2020-04-29,959,509,631,0.4569,0.2425,0.3006,4580,4514,4739,1817,12247,2099,13833
2020-04-30,678,188,362,0.5521,0.1531,0.2948,5258,4702,5101,1123,13370,1228,15061
2020-05-01,1031,299,565,0.5441,0.1578,0.2982,6289,5001,5666,1544,14914,1895,16956
2020-05-02,1309,820,1031,0.4142,0.2595,0.3263,7598,5821,6697,2182,17096,3160,20116
